n,two_lambda_n = M^2/(pi g^2),parity_under_x->1-x,CP
0,0.73706174629270,even,-1
1,1.75373133691735,odd,+1
2,2.74816091237441,even,-1
3,3.75105758169997,odd,+1
4,4.74929538104011,even,-1
5,5.75049262364708,odd,+1
6,6.74962941965038,even,-1
7,7.75028439719255,odd,+1
8,8.74977158078535,even,-1
9,9.75018513525807,odd,+1
10,10.74984508915991,even,-1
11,11.75013014251638,odd,+1
12,12.74988800841840,even,-1
13,13.75009650397356,odd,+1
14,14.74991524444691,even,-1
15,15.75007442843910,odd,+1
16,16.74993361105754,even,-1
17,17.75005915903551,odd,+1
18,18.74994658403384,even,-1
19,19.75004815716947,odd,+1
20,20.74995608817299,even,-1
21,21.75003996713023,odd,+1
22,22.74996325976157,even,-1
23,23.75003370531775,odd,+1
24,24.74996880488309,even,-1
25,25.75002881005925,odd,+1
26,26.74997318114592,even,-1
27,27.75002491039455,odd,+1
28,28.74997669573177,even,-1
29,29.75002175328796,odd,+1
30,30.74997956108864,even,-1
31,31.75001916132796,odd,+1
32,32.74998192796361,even,-1
33,33.75001700712448,odd,+1
34,34.74998390572788,even,-1
35,35.75001519728228,odd,+1
36,36.74998557530502,even,-1
37,37.75001366206613,odd,+1
38,38.74998699760863,even,-1
39,39.75001234854869,odd,+1
